Order ID	Product	Quantity Ordered	Price Each	Order Date	Purchase Address	Month	Chiffre_d'affaire	ville	heure	Grouped
176560	Google Phone	1	600.0	04/12/2019 14:38	669 Spruce St, Los Angeles, CA 90001	4	600.0	 Los Angeles	14	Google Phone,Wired Headphones
176560	Wired Headphones	1	11.99	04/12/2019 14:38	669 Spruce St, Los Angeles, CA 90001	4	11.99	 Los Angeles	14	Google Phone,Wired Headphones
176574	Google Phone	1	600.0	04/03/2019 19:42	20 Hill St, Los Angeles, CA 90001	4	600.0	 Los Angeles	19	Google Phone,USB-C Charging Cable
176574	USB-C Charging Cable	1	11.95	04/03/2019 19:42	20 Hill St, Los Angeles, CA 90001	4	11.95	 Los Angeles	19	Google Phone,USB-C Charging Cable
176585	Bose SoundSport Headphones	1	99.99	04/07/2019 11:31	823 Highland St, Boston, MA 02215	4	99.99	 Boston	11	Bose SoundSport Headphones
176585	Bose SoundSport Headphones	1	99.99	04/07/2019 11:31	823 Highland St, Boston, MA 02215	4	99.99	 Boston	11	Bose SoundSport Headphones
176586	AAA Batteries (4-pack)	2	2.99	04/10/2019 17:00	365 Center St, San Francisco, CA 94016	4	5.98	 San Francisco	17	AAA Batteries (4-pack),Google Phone
176586	Google Phone	1	600.0	04/10/2019 17:00	365 Center St, San Francisco, CA 94016	4	600.0	 San Francisco	17	AAA Batteries (4-pack),Google Phone
176672	Lightning Charging Cable	1	14.95	04/12/2019 11:07	778 Maple St, New York City, NY 10001	4	14.95	 New York City	11	Lightning Charging Cable,USB-C Charging Cable
176672	USB-C Charging Cable	1	11.95	04/12/2019 11:07	778 Maple St, New York City, NY 10001	4	11.95	 New York City	11	Lightning Charging Cable,USB-C Charging Cable
176681	Apple Airpods Headphones	1	150.0	04/20/19 10:39	331 Cherry St, Seattle, WA 98101	4	150.0	 Seattle	10	Apple Airpods Headphones,ThinkPad Laptop
176681	ThinkPad Laptop	1	999.99	04/20/19 10:39	331 Cherry St, Seattle, WA 98101	4	999.99	 Seattle	10	Apple Airpods Headphones,ThinkPad Laptop
176689	Bose SoundSport Headphones	1	99.99	04/24/19 17:15	659 Lincoln St, New York City, NY 10001	4	99.99	 New York City	17	AAA Batteries (4-pack),Bose SoundSport Headphones
176689	AAA Batteries (4-pack)	2	2.99	04/24/19 17:15	659 Lincoln St, New York City, NY 10001	4	5.98	 New York City	17	AAA Batteries (4-pack),Bose SoundSport Headphones
176739	34in Ultrawide Monitor	1	379.99	04/05/2019 17:38	730 6th St, Austin, TX 73301	4	379.99	 Austin	17	34in Ultrawide Monitor,Google Phone
176739	Google Phone	1	600.0	04/05/2019 17:38	730 6th St, Austin, TX 73301	4	600.0	 Austin	17	34in Ultrawide Monitor,Google Phone
